sha256	sha1	md5	category	filename	publisher	loads_despite_hvci	imphash
4e913a99b38abea038202c95c6bc5d8d866a6e2869101a14a05079235346d9a1	c769d4c56e4835c6ddf1d141bc245d411a20f591	eda194abb7d4d0ab3a52ac6147c56402	vulnerable driver	Amd_RPMC_BiosToolCommonDriver.sys		FALSE	e3c915c62d33052b715b0a50dfa2d89d
e055fdfb914e3da936eb7745acb665f50346df9abac597cf43d487262a6a12d5	be80f4d2a669f60354703a21daffb7b2128de190	c419d7a8bc1cd5fe0af3ce4637c4d8a3	malicious	kavservice.bin			2b12d7329b1917ae49f22618cc3316ec
a6deeea6607a7da9c8b4087d1424aac6dbbe70831e93c835b5a9e4a80ae59f28	a897b159814a3d61de5dcc0077b2e07bbd6e2711	8dfe2b95d7aa30285220bac35450cc3a	malicious			TRUE	96861132665e8d66c0a91e6c02cc6639
316a27e2bdb86222bc7c8af4e5472166b02aec7f3f526901ce939094e5861f6d	48be0ec2e8cb90cac2be49ef71e44390a0f648ce	a216803d691d92acc44ac77d981aa767	vulnerable driver	WinFlash64.sys		FALSE	7a4a0df0bde1f8da6547a580d5bee7c3
8797d9afc7a6bb0933f100a8acbb5d0666ec691779d522ac66c66817155b1c0d	7a1689cde189378e7db84456212b0e438f9bf90a	bf2a954160cb155df0df433929e9102b	vulnerable driver	WinFlash64.sys		FALSE	e4f1a9234e4ea105321909d4c0e597ae
8bda0108de82ebeae82f43108046c5feb6f042e312fa0115475a9e32274fae59	d5326fea00bcde2ef7155acf3285c245c9fb4ece	bc6ff00fb3a14437c94b37ac9a2101d4	vulnerable driver	WinFlash64.sys		FALSE	8c3af6c25ab40c4daefb4f836d12e1c8
47f08f7d30d824a8f4bb8a98916401a37c0fd8502db308aba91fe3112b892dcc	1d0df45ee3fa758f0470e055915004e6eae54c95	56a515173b211832e20fbc64e5a0447c	vulnerable driver	AsrSmartConnectDrv.sys	ASROCK Incorporation	FALSE	9d7183c1d8107495354c4fad9dae3452
efb642ad3fab4a2e6cb4de829b60e04dd0d9ae7c2b4cf544de28c38f978b4136	9ff1a5038a5484b0dba0c6647a1a6c7a5ae2a4d9	6d6dfb7a684f7374656aea13ad764e90	vulnerable driver	CSAgent.sys			4e3c3df003b6a014459f47ae8cb021c7
dba8db472e51edd59f0bbaf4e09df71613d4dd26fd05f14a9bc7e3fc217a78aa	0e1df95042081fa2408782f14ce483f0db19d5ab	bc1eeb4993a601e6f7776233028ac095	vulnerable driver			FALSE	604b5bd94f1892fd9e9025ef7a2bbe54
df4c02beb039d15ff0c691bbc3595c9edfc1d24e783c8538a859bc5ea537188d	ec1eafb87340b18c7ef3bc349fed1ddd5d3678f6	a2be99e4904264baa5649c4d4cd13a17	vulnerable driver			FALSE	604b5bd94f1892fd9e9025ef7a2bbe54
8bf84bed9b5fa4576182c84d2f31679dc472acd0f83c9813498e9f71ed9fef3e	6aa92733aa7b654c3ead8c0a5e81a6b05cbaaeb0	214a9aba01ee1ba067b2feb382748c16	vulnerable driver			FALSE	ebb99842fa08915eb8b7f67d8dc7a13a
a5a4a3c3d3d5a79f3ed703fc56d45011c21f9913001fcbcc43a3f7572cff44ec	b406920634361f4b7d7c1ec3b11bb40872d85105	1da1cfe6aa15325c9ecf8f8c9b2cd12d	vulnerable driver			FALSE	340e874a1ca966e45fc2a314ef228cce
defde359045213ae6ae278e2a92c5b4a46a74119902364c7957a38138e9c9bbd	54a4772212da2025bd8fb2dc913e1c4490e7a0cd	09b3d078ffa3b4ed0ad2e477a2ee341f	vulnerable driver			FALSE	485f7e86663d49c68c8b5f705d310f50
e4a7da2cf59a4a21fc42b611df1d59cae75051925a7ddf42bf216cc1a026eadb	ef80da613442047697bec35ea228cde477c09a3d	988dabdcf990b134b0ac1e00512c30c4	vulnerable driver	Monitor_win10_x64.sys		FALSE	d6f977640d4810a784d152e4d3c63a6b
9368e51ec98e2ad20893a5fc21e6a8b20c5bee158d5c49ca58649cff84db9d68	b9c3f4dcc7463cbec84b808d880194bbc304ccd0	ba86e444ae837476e7ccdd06f8867795	vulnerable driver			FALSE	528ac7a1e034801d1f20238971c6ec19
40263b08b3c3659529ab605d1daa3033db0fdc4b19c26aa375be0c19686807e6	acacebea32c33fc1315d9549504a6b0cabd1e974	64ae0358860e2a5b658383f7e651038e	vulnerable driver			FALSE	ebb99842fa08915eb8b7f67d8dc7a13a
668c5bead3c7fcd919afd742ede7e5fe07972dc4cf730ff37deabdd22d88de4a	06b733b2b02753089d743793232bd326204b8919	5983eaf01499c65f35302cd962b849f5	malicious			TRUE	0a36076c1d71bc5362d962fbe0089ccb
092349aebdac28294dbad1656759d8461f362d1a36b01054dccf861d97beadf0	e702221d059b86d49ed11395adffa82ef32a1bce	537e2c3020b1d48b125da593e66508ec	vulnerable driver	directio64.sys		FALSE	cae90f82e91b9a60af9a0e36c1f73be4
0bc3685b0b8adc97931b5d31348da235cd7581a67edf6d79913e6a5709866135	3c9c86c0b215ecbab0eeb4479c204dba65258b8e	8fbb1ffc6f13f9d5ee8480b36baffc52	vulnerable driver	DirectIo64.sys		FALSE	aa274f6b4b15691fd725d7044f98bf36
4324f3d1e4007f6499a3d0f0102cd92ed9f554332bc0b633305cd7b957ff16c8	3f338ab65bac9550b8749bb1208edb0f7d7bcb81	76d1d4d285f74059f32b8ad19a146d0c	vulnerable driver	DirectIo64.sys		FALSE	9521d8684357766840dbcac2b4cee67d
72c0d2d699d0440db17cb7cbbc06a253eaafd21465f14bb0fed8b85ae73153d1	13572d36428ef32cfed3af7a8bb011ee756302b0	f41eea88057d3dd1a56027c4174eed22	vulnerable driver	DirectIo64.sys		FALSE	9521d8684357766840dbcac2b4cee67d
79e87b93fbed84ec09261b3a0145c935f7dfe4d4805edfb563b2f971a0d51463	4c6ec22bc10947d089167b19d83a26bdd69f0dd1	c4f5619ce04d4bee38024d08513c77fd	vulnerable driver	DirectIo64.sys		FALSE	9521d8684357766840dbcac2b4cee67d
8939116df1d6c8fd0ebd14b2d37b3dec38a8820aa666ecd487bc1bb794f2a587	0904b8fa4654197eefd6380c81bbb2149ffe0634	5093f38d597532d59d4df9018056f0d1	vulnerable driver	DirectIo64.sys		FALSE	832f0fb3579a07b1c4bec82b4478306b
9778136d2441439dc470861d15d96fa21dc9f16225232cd05b76791a5e0fde6f	61f5904e9ff0d7e83ad89f0e7a3741e7f2fbf799	790ccca8341919bb8bb49262a21fca0e	vulnerable driver	DirectIo64.sys		FALSE	9521d8684357766840dbcac2b4cee67d
ac63c26ca43701dddaa7fb1aea535d42190f88752900a03040fd5aaa24991e25	2db49bdf8029fdcda0a2f722219ae744eae918b0	7978d858168fadd05c17779da5f4695a	vulnerable driver	DirectIo64.sys		FALSE	cef6a450f196b28e634aa3c0655d8eda
b2ba6efeff1860614b150916a77c9278f19d51e459e67a069ccd15f985cbc0e1	01b95ae502aa09aabc69a0482fcc8198f7765950	d660fc7255646d5014d45c3bca9c6e20	vulnerable driver	DirectIo64.sys		TRUE	7863a0f25a0647ed7d52641222bd709a
bda99629ec6c522c3efcbcc9ca33688d31903146f05b37d0d3b43db81bfb3961	ffabdf33635bdc1ed1714bc8bbfd7b73ef78a37c	b3424a229d845a88340045c29327c529	vulnerable driver	DirectIo64.sys		TRUE	7863a0f25a0647ed7d52641222bd709a
20f11a64bc4548f4edb47e3d3418da0f6d54a83158224b71662a6292bf45b5fb	db3538f324f9e52defaba7be1ab991008e43d012	0dff47f3b14fb1c1bad47cc517f0581a	vulnerable driver	amifldrv64.sys		TRUE	4fbdc03e4487f98fb59360ea5b3e640d
2f60536b25ba8c9014e4a57d7a9a681bd3189fa414eea88c256d029750e15cae	c614ab686e844c7a7d2b20bc7061ab15290e2cfd	ee57cbe6ec6a703678eaa6c59542ff57	vulnerable driver	amifldrv64.sys		FALSE	363922cc73591e60f2af113182414230
36aafa127736c7226c50061ea065f71e14f64ec60321f705bc52686d24117e0d	5fece994f2409810a0ad050b3ca9b633c93919e4	df5f8e118a97d1b38833fcdf7127ab29	vulnerable driver	amifldrv64.sys		TRUE	4fbdc03e4487f98fb59360ea5b3e640d
37073e42ffa0322500f90cd7e3c8d02c4cdd695d31c77e81560abec20bfb68ba	029c678674f482ababe8bbfdb93152392457109d	785045f8b25cd2e937ddc6b09debe01a	vulnerable driver	amifldrv64.sys		TRUE	363922cc73591e60f2af113182414230
38d87b51f4b69ba2dae1477684a1415f1a3b578eee5e1126673b1beaefee9a20	e35969966769e7760094cbcffb294d0d04a09db6	119f0656ab4bb872f79ee5d421e2b9f9	vulnerable driver	amifldrv.sys		TRUE	f9141c3df8f7ec7b3f2d46265a3b5528
3cb75429944e60f6c820c7638adbf688883ad44951bca3f8912428afe72bc134	1e09f3dd6ba9386fa9126f0116e49c2371401e01	530feb1e37831302f58b7c219be6b844	vulnerable driver	amifldrv64.sys		FALSE	4199ed50502e00f57d9b66e9305450f5
5f487829527802983d5c120e3b99f3cf89333ca14f5e49ac32df0798cfb1f7aa	7e8efd93a1dad02385ec56c8f3b1cfd23aa47977	c098f8aeb67eeb2262dbf681690a9306	vulnerable driver	amifldrv64.sys		TRUE	4c304943af1b07b15a5efa80f17d9b89
65c26276cadda7a36f8977d1d01120edb5c3418be2317d501761092d5f9916c9	5812387783d61c6ab5702213bb968590a18065e3	f22740ba54a400fd2be7690bb204aa08	vulnerable driver	amifldrv64.sys		FALSE	b05ee5c816a30bc52378c759486af0b9
6c64688444d3e004da77dcfb769d064bb38afceeef7ff915dfc71e60e19ff18a	ff9048c451644c9c5ff2ba1408b194a0970b49e6	24156523b923fd9dcfdd0ac684dcdb20	vulnerable driver	amifldrv64.sys		FALSE	bd607d71fdc1444aa96dc431591c5c44
b95b2d9b29bd25659f1c7ba5a187f8d23cde01162d9b5b1a2c4aea8f64b38441	456a1acacaa02664517c2f2fb854216e8e967f9d	7331720a5522d5cd972623326cf87a3f	vulnerable driver	amifldrv64.sys		FALSE	4c304943af1b07b15a5efa80f17d9b89
bc7ebd191e0991fd0865a5c956a92e63792a0bb2ff888af43f7a63bb65a22248	28fa0e9429af24197134306b6c7189263e939136	2971d4ee95f640d2818e38d8877c8984	vulnerable driver	amifldrv64.sys		FALSE	4c304943af1b07b15a5efa80f17d9b89
c2fcc0fec64d5647813b84b9049d430406c4c6a7b9f8b725da21bcae2ff12247	e700fcfae0582275dbaee740f4f44b081703d20d	2503c4cf31588f0b011eb992ca3ee7ff	vulnerable driver	amifldrv64.sys		FALSE	b05ee5c816a30bc52378c759486af0b9
